name	author	publisher	date	price	rate	comment
世界尽头与冷酷仙境	[日] 村上春树 	 上海译文出版社 	 2002-12 	 23.00元	8.6	交叉平行蒙太奇
傲慢与偏见	[英] 奥斯丁 	 上海译文出版社 	 1996-12 	 11.00元	9	百般曲折，终成眷属
最初的爱情 最后的仪式	[英] 伊恩·麦克尤恩 	 南京大学出版社 	 2010-2 	 22.00元	8	别被封面骗了
鬼吹灯之云南虫谷	天下霸唱 	 安徽文艺出版社 	 2006-11 	 26.80元	8	恐虫症慎入
明朝那些事儿（柒）：大结局	当年明月 	 中国海关出版社 	 2009-4 	 29.80元	8.9	大明崇祯万万年
把时间当作朋友	李笑来 	 电子工业出版社 	 2009-6 	 32.00元	8.5	空
秘密	[澳] 朗达·拜恩 	 中国城市出版社 	 2008-11 	?32.00 	7.3	吸引力法则
天使与魔鬼	[美] 丹.布朗 	 人民文学出版社 	 2005-2 	 29.80元	8.2	科学与宗教的大乱斗
拆掉思维里的墙	古典 	 中国书店 	 2010-9 	 29.80元	7.9	解放思想，实事求是
明朝那些事儿（陆）	当年明月 	 中国海关出版社 	 2008-11 	?28.80 	8.8	党争不息，西山日薄
佛祖在一号线	李海鹏 	 文化艺术出版社 	 2010-6 	 25.00元	8.2	嬉笑怒骂的常识分子
倚天屠龙记(共四册)	金庸 	 三联书店 	 1999-04 	?0.00 	8.5	不识张郎是张郎
阿狸·梦之城堡	hans 	 上海锦绣文章出版社 	 2009-1 	 36.80元	9	治愈
杜拉拉2华年似水	李可 	 陕西师范大学出版社 	 2009-1 	?28.00 	7.3	杜拉拉跳槽记
不朽	落落 	 长江文艺出版社 	 2007-12 	?22.00 	7.6	所有须臾，化为不朽
