name	author	publisher	date	price	rate	comment
天龙八部	金庸 	 生活.读书.新知三联书店 	 1994-5 	?96.00 	9.1	“有情皆孽，无人不冤”
放学后	[日]东野圭吾 	 南海出版公司 	 2010-1 	 20.00元	7.6	东野圭吾处女作
Harry Potter and the Deathly Hallows	J.K.Rowling 	 Arthur A. Levine Books 	 2007-7-21 	 34.99美元	8.9	final episode
长安乱	韩寒 	 中国青年出版社 	 2004-8 	 20.00元	7.4	韩少也会借古喻今了
哈利·波特与混血王子	[英] J. K. 罗琳 	 人民文学出版社 	 2005-10 	 58.00元	8.8	感情线纷乱的一部。再见邓布利多
一个人的好天气	[日] 青山七惠 	 上海译文出版社 	 2007-9 	 15.00元	7.6	冬日暖阳的温煦感
苏菲的世界	（挪威）乔斯坦·贾德 	 作家出版社 	 1999-04 	 26.80元	8.5	最平易近人的哲学入门
许三观卖血记	余华 	 南海出版公司 	 1998-9 	 16.80元	8.7	余华的悲凉，都在那一碗炒猪肝里了
1995-2005夏至未至	郭敬明 	 春风文艺出版社 	 2005-2 	 24.00元	7.3	当青春遁入歧途
撒哈拉的故事	三毛 	 皇冠出版社 	1976	 160 TWD	9	关于漂泊的一切
盗墓笔记	南派三叔 	 中国友谊出版公司 	 2007-1 	 26.80元	8.3	想象奇诡的大型RPG游戏
霍乱时期的爱情	[哥伦比亚] 加西亚·马尔克斯 	 南海出版公司 	 2012-9-1 	 39.50元	9	义无反顾地直达爱情的核心
哈利·波特与凤凰社	[英] J. K. 罗琳 	 人民文学出版社 	 2003-9 	 59.00元	8.7	暴脾气的哈利
喜宝	亦舒 	 新世界出版社 	 2007-2 	 22.00元	8.1	爱情才是终极的奢侈品
岛上书店	[美] 加·泽文 	 江苏凤凰文艺出版社 	 2015-5-1 	 CNY 35.00	7.6	爱书的人从不孤独
三生三世 十里桃花	唐七公子 	 沈阳出版社 	 2009-1 	?26.80 	7.9	大风刮过有话要说
海边的卡夫卡	[日] 村上春树 	 上海译文出版社 	 2003-4 	 25.00元	8.1	背负诅咒的少年，平行世界中的奥德赛
文化苦旅	余秋雨 	 东方出版中心 	 2001-4 	 22.00元	7.8	“历史文化散文”
基督山伯爵	大仲马 	 上海译文出版社 	 1991-12-1 	 43.90元	9	完美的复仇，金庸用法语写作应该就是这样
窗边的小豆豆	[日] 黑柳彻子 著 	 南海出版公司 	 2003-1 	 20.00元	8.7	真正懂孩子的教育经
三国演义（全二册）	[明] 罗贯中 	 人民文学出版社 	 1998-05 	 39.50元	9.2	是非成败转头空
黄金时代	王小波 	 花城出版社 	 1999-3 	 19.00元	8.8	能把性爱写得如此坦荡的，大概只有王二了
悟空传	今何在 	 光明日报出版社 	 2001-4 	 14.80元	8.4	猴子还是那个猴子，世界早已不是原来的世界
兄弟（上）	余华 	 上海文艺出版社 	 2005-8 	 16.00元	8.3	历史苦难中的个人灾变
呼啸山庄	艾米莉·勃朗特 	 人民文学出版社 	 1999-1 	 27.30元	8.4	近乎暴虐的爱与恨，中文译名后无来者
笑傲江湖（全四册）	金庸 	 生活·读书·新知三联书店 	 1994-5 	 76.80元	9	武侠的壳，政治斗争的核
少有人走的路	[美] M·斯科特·派克 	 吉林文史出版社 	 2007-1 	 26.00元	8.4	成熟的心智通向更完善的自我
民主的细节	刘瑜 	 上海三联书店 	 2009-6 	?25.00 	8.6	公民养成手册
亲爱的安德烈	龙应台 	 人民文学出版社 	 2008-12 	?26.00 	8.7	龙应台母子对话，两代人的思想碰撞
灿烂千阳	[美] 卡勒德·胡赛尼 	 上海人民出版社 	 2007-9 	 28.00元	8.8	唯有希望与爱可以驱散阴霾
老人与海	海明威 	 上海译文出版社 	 1999-10 	 8.20元	8.3	正是悲壮赋予生活以意义
遇见未知的自己	张德芬 	 华夏出版社 	 2008-1 	?29.00 	8.1	都市灵修速成
一九八四·动物农场	[英] 乔治·奥威尔 	 上海译文出版社 	 2003-4 	 23.00元	9.3	一个预言和一个寓言，令人窒息的政治恐怖
牧羊少年奇幻之旅	[巴西]保罗·柯艾略 	 南海出版公司 	 2009-3-1 	 25.00元	8.6	你自己就是最大的宝藏
福尔摩斯探案全集（上中下）	[英] 阿·柯南道尔 	 1981-8 	 53.00元	68.00元	9.2	侦探小说鼻祖
小时代1.0折纸时代	郭敬明 	 长江文艺出版社 	 2008-10 	 29.80元	6.5	温习了很多奢侈品品牌名称
洛丽塔	[美] 弗拉基米尔·纳博科夫 	 上海译文出版社 	 2005-12 	 27.00元	7.7	我的生命之光，我的欲望之火
百年孤独	[哥伦比亚] 加西亚·马尔克斯 	 上海译文出版社 	 1989-10 	 12.70元	8.9	拉丁美洲圣经
1Q84 BOOK 2	[日] 村上春树 	 南海出版公司 	 2010-6 	 36.00元	8.4	情节铺展渐次清明，高潮序曲
素年锦时	安妮宝贝 	 作家出版社 	 2007-9 	 27.00元	7.8	呢喃自语，清简自持
情书	[日] 岩井俊二 	 天津人民出版社 	 2004-7 	 18.00元	8.6	一场误会中的两段爱情，东方式的含蓄隐忍
第一次的亲密接触	蔡智恒 	 知识出版社 	 1999-11-1 	?12.80 	7.4	那时候，去麦当劳约会还很高端……
神雕侠侣	金庸 	 生活·读书·新知三联书店 	 1994-5 	?76.80 	8.8	至情至性，情大于武
一座城池	韩寒 	 二十一世纪出版社 	 2006-1 	 19.90元	7.4	可能是韩寒最好笑的小说
茶花女	小仲马 	 外国文学出版社 	 1997-3 	 9.00元	8.2	妓女应当拥有爱情吗？
麦田里的守望者	[美国] J. D. 塞林格 	 译林出版社 	 1997-2 	 7.80元	7.9	塞林格的麦田里，到处是坠落的青春
他的国	韩寒 	 万卷出版公司 	 2009-1 	 25.00元	7.5	总有光芒将你引导到清澈的地方
彼岸花	安妮宝贝 	 南海出版公司 	 2001-9 	 20.00元	7.8	安妮宝贝第一部长篇，现实与虚构的重合
西决	笛安 	 长江文艺出版社 	 2009-3 	 22.80元	7.9	无关风月的非典型青春小说
东方快车谋杀案	[英] 阿加莎·克里斯蒂 	 人民文学出版社 	 2006-5 	 18.00元	9	谋杀诡计惊人，波洛的抉择耐人寻味
挪威的森林	[日] 村上春树 	 上海译文出版社 	 2007-7 	 23.00元	8.5	初读是色情，再读是爱情，三读是世情
这些都是你给我的爱	文：安东尼 	 长江文艺出版社 	 2010-3 	 24.80元	8.4	只言片语的温暖
这些人，那些事	吴念真 	 译林出版社 	 2011-9 	 28.00元	8.8	平淡叙述下的惊心动魄
八月未央	安妮宝贝 	 作家出版社 	 2001-1 	 16.00元	7.5	八月是一阵季风，生命是一场幻觉
当我谈跑步时我谈些什么	[日] 村上春树 	 南海出版公司 	 2009-1 	?25.00 	8.1	村上同志告诉我们，身体是革命的本钱
明朝那些事儿（贰）	当年明月 	 中国友谊出版公司 	 2007-1 	?24.80 	8.9	万国来朝与北京保卫战，燃
清醒纪	安妮宝贝 	 天津人民出版社 	 2004-10 	 22.00元	7.9	遗忘就和记得一样是送给彼此的纪念
一个陌生女人的来信	[奥] 斯台芬·茨威格 	 上海译文出版社 	 2007-7 	 20.00元	8.7	暗恋的极致
蔡康永的说话之道	蔡康永 著 	 沈阳出版社 	 2010-10 	 25.00元	7.1	会说话的人运气都不会太差
偷影子的人	(法)马克·李维 	 湖南文艺出版社 	 2012-6-20 	 29.80元	7.8	为偷来的影子找到光芒
陪安东尼度过漫长岁月	安东尼 	 长江文艺出版社 	 2008-3 	?18.00 	8.3	真正的片段式写作
沉默的大多数	王小波 	 中国青年出版社 	 1997-10 	 27.00元	9.1	沉默是沉默者的通行证
白鹿原	陈忠实 	 人民文学出版社 	 1997-12 	 28.00元	8.6	中国乡村史诗
芒果街上的小屋	[美国] 桑德拉·希斯内罗丝 	 译林出版社 	 2006-6 	 24.50元	7.8	那些微尘般漂浮的生活
羊脂球	（法）莫泊桑 	 北京燕山出版社 	 2007-6 	 13.50元	8.1	资产阶级的道貌岸然
鲁滨逊漂流记	[英] 笛福 	 广西民族出版社 	 2002-1 	 9.20元	8	最早的荒野求生
灌篮高手31	[日] 井上雄彦 	 长春出版社 	 2005-1 	 7.50元	9.5	全剧终
撒哈拉的故事	三毛 	 哈尔滨出版社 	 2003-8 	 15.80元	9.2	游荡的自由灵魂
巴黎圣母院	[法]雨果 	 人民文学出版社 	 1982-6 	 22.50元	8.3	潜藏于残缺下的美与崇高
肖申克的救赎	[美] 斯蒂芬·金 	 人民文学出版社 	 2006-7 	 29.90元	9.1	希望让人自由，电影实在太有名
